member_id,member_dt,first_name,last_name,email,phone_nbr,street,city,state,zip_code
1,2020-07-14,Rebekah,Brown,ehodges@gray.biz,(907)439-1500x08063,,,,
2,2020-11-22,Tiffany,House,lopezvictoria@yahoo.com,586-834-4978,3662 Dunn Squares,Christopherhaven,CT,21957
3,2022-03-07,Jacqueline,,parkermelinda@hotmail.com,001-962-283-0388,574 Patrick Walks Apt. 883,Herringfort,VI,48307
4,2022-05-22,Teresa,Gutierrez,ireed@hotmail.com,+1-957-903-2892x184,07043 Rodriguez Road,West Kelly,GA,21423
5,2021-01-18,Carol,Nelson,fpark@yahoo.com,046-563-4148,,,,
6,2021-11-10,Megan,Stephens,pwalker@foster.com,+1-604-230-4114x42694,397 Maria Ways,South Jamesville,IL,75655
7,2022-10-31,Leslie,Vasquez,william05@hotmail.com,(402)359-2563x4168,310 Dean Expressway Apt. 459,Michealmouth,DE,38671
8,2020-12-18,Lindsey,Best,bethanycarrillo@yahoo.com,6162251996,145 Elliott Crescent,Mosleyville,WY,06497
9,2023-06-26,Louis,Smith,mckenziekristy@gmail.com,962.172.3216,,,,
10,2021-04-25,Adam,Haas,shannon56@gmail.com,597-143-9875,3351 Davis Terrace,Davisshire,SD,44919
11,2020-12-06,Eric,Murphy,john18@hotmail.com,001-913-303-6148,04577 Craig Tunnel,Chrisburgh,HI,20104
12,2020-07-25,Emma,Rodriguez,patriciathomas@hotmail.com,5983246820,1768 Weaver Vista,Smithmouth,GA,34313
13,2022-01-11,Matthew,Butler,holtbetty@martinez.biz,001-629-137-0285,335 Mcdaniel Fork Suite 589,Teresabury,AR,09879
14,2023-03-18,Sherry,Moore,kenneth48@martin-haynes.info,+1-119-896-2246x390,568 Amy Canyon Apt. 414,East Tanyaland,NV,32088
15,2023-08-01,Robert,Hamilton,samuel97@wilson.net,(144)368-0387x90093,42834 Willis Glen,Moodyburgh,ND,47287
16,2022-01-19,Bryan,Clark,justinrodriguez@gmail.com,908-421-8594,501 Robbins Keys Suite 865,Wilsonfurt,MS,27228
17,2022-05-02,Donald,George,hburke@pineda-joseph.com,001-279-835-8069x665,3406 Cynthia Locks,Meghanland,GU,79860
18,2020-01-03,Dennis,Erickson,stevengreen@gmail.com,804.819.6151x702,164 Clark Fords,West Joseph,CA,92145
19,2023-07-01,Mary,Mcdonald,kennethmoss@nelson.net,(274)953-4930x9656,,,,
20,2022-08-17,Shelby,Riley,stephen22@english.com,631-341-1365x7120,07897 Alvarado Harbor,New Heatherville,IN,52891
21,2020-12-15,James,Jackson,ypayne@gmail.com,457.913.1000x756,62200 Thomas Shores Apt. 964,North Steven,MP,40268
